id,latitude,longitude,name,type,color
S32022,42.39407224,-71.11133695,Community Path at Cedar Street,Blue Bike,282891
D32009,42.36041775,-71.05752244,Congress St at Boston City Hall,Blue Bike,282891
C32032,42.3481,-71.03764,Congress St at Northern Ave,Blue Bike,282891
C32010,42.3510045,-71.04930013,Congress St at Sleeper St,Blue Bike,282891
S32004,42.383405,-71.107593,Conway Park - Somerville Avenue,Blue Bike,282891
K32001,42.341598,-71.123338,Coolidge Corner - Beacon St at Centre St,Blue Bike,282891
D32005,42.34992828,-71.07739207,Copley Square - Dartmouth St at Boylston St,Blue Bike,282891
S32037,42.38363402,-71.10855814,Craigie at Summer St,Blue Bike,282891
D32010,42.362811,-71.056067,Cross St at Hanover St,Blue Bike,282891
E32001,42.309054,-71.11543,Curtis Hall - South St at Centre St,Blue Bike,282891
K32009,42.32784317,-71.12536222,Cypress St at Clark Playground,Blue Bike,282891
M32030,42.36178044,-71.10809952,Dana Park,Blue Bike,282891
M32031,42.388966,-71.132788,Danehy Park,Blue Bike,282891
D32045,42.35096144,-71.07782811,Dartmouth St at Newbury St,Blue Bike,282891
S32006,42.396969,-71.123024,Davis Square,Blue Bike,282891
B32037,42.34924377,-71.0972821,Deerfield St at Commonwealth Ave,Blue Bike,282891
M32066,42.39790817,-71.14797131,Discovery Park - 30 Acorn Park Drive,Blue Bike,282891
C32009,42.34404051,-71.05737627,Dorchester Ave at Gillette Park,Blue Bike,282891
C32066,42.29175622,-71.0625918,Dorchester Ave at King St,Blue Bike,282891
B32017,42.32984299,-71.08386572,Dudley Square - Bolling Building,Blue Bike,282891
C32015,42.325333,-71.075354,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,Blue Bike,282891
C32018,42.320561,-71.06198,E Cottage St at Columbia Rd,Blue Bike,282891
A32031,42.369536,-71.039431,East Boston Neighborhood Health Center - 20 Maverick Square,Blue Bike,282891
S32017,42.38762811,-71.08318716,East Somerville Library (Broadway and Illinois),Blue Bike,282891
S32038,42.38717463,-71.08714389,Edgerly Education Center,Blue Bike,282891
A32022,42.378965,-71.068607,Edwards Playground - Main St at Eden St,Blue Bike,282891
M32034,42.369885,-71.069957,EF - North Point Park,Blue Bike,282891
E32004,42.315692,-71.098634,Egleston Square - Atherton St at Washington St,Blue Bike,282891
S32039,42.38952436,-71.1169414,Elm St at White St,Blue Bike,282891
V32005,42.39329263,-71.0724476,Encore,Blue Bike,282891
V32003,42.40725945,-71.05546381,Everett Square (Broadway at Chelsea St),Blue Bike,282891
A32000,42.35339051,-71.0445714,Fan Pier,Blue Bike,282891
A32038,42.35276621,-71.15988486,Faneuil St at Arlington St,Blue Bike,282891
C32051,42.3334,-71.02495,Farragut Rd at E. 6th St,Blue Bike,282891
